N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,LG이노텍,"165,000","4,000",-2.37%,"5,000","39,051","23,667",34.15,"152,986",17.08,4.73,
61,맥쿼리인프라,"11,000",50,-0.45%,0,"38,395","349,044",18.91,"202,461",N/A,N/A,
62,한국금융지주,"68,600","2,400",+3.63%,"5,000","38,228","55,726",33.61,"399,602",6.49,18.14,
63,한국타이어앤테크놀로지,"30,250",650,-2.10%,500,"37,472","123,875",38.00,"178,478",12.65,6.03,
64,한미약품,"310,000","1,000",+0.32%,"2,500","36,713","11,843",14.78,"42,038",101.84,7.30,
65,현대건설,"32,750",50,+0.15%,"5,000","36,469","111,356",22.01,"290,352",10.84,6.30,
66,현대중공업지주,"230,500","2,000",+0.88%,"5,000","36,416","15,799",18.55,"15,910",-16.25,2.20,
67,CJ대한통운,"158,000","1,000",-0.63%,"5,000","36,044","22,812",20.73,"29,468",39.88,1.41,
68,이마트,"125,500","2,500",-1.95%,"5,000","34,984","27,876",30.51,"179,433",6.30,2.76,
69,현대제철,"25,700",100,-0.39%,"5,000","34,296","133,446",19.06,"322,649",-12.75,0.10,
70,SKC,"91,000",600,-0.66%,"5,000","34,156","37,535",8.77,"175,061",32.97,3.86,
71,삼성카드,"28,950",0,0.00%,"5,000","33,541","115,859",9.81,"46,740",8.95,5.04,
72,에스원,"88,100",100,-0.11%,500,"33,477","37,999",55.85,"29,400",22.63,11.32,
73,삼성중공업,"5,300",40,+0.76%,"5,000","33,390","630,000",15.30,"2,478,952",-1.83,-21.88,
74,대림산업,"94,000",200,+0.21%,"5,000","32,712","34,800",40.55,"174,831",5.29,11.74,
75,대한항공,"18,650",300,+1.63%,"5,000","32,490","174,210",11.81,"1,262,595",-2.78,-22.09,
76,현대차2우B,"89,000",600,+0.68%,"5,000","32,472","36,485",62.73,"26,276",12.82,N/A,
77,롯데지주,"30,500",100,+0.33%,200,"31,997","104,909",11.43,"76,605",-4.60,-5.21,
78,DB손해보험,"44,850",600,-1.32%,500,"31,754","70,800",39.87,"69,811",5.87,6.92,
79,더존비즈온,"106,500","1,000",+0.95%,500,"31,601","29,673",46.29,"110,847",66.48,18.78,
80,GS,"33,600",50,-0.15%,"5,000","31,220","92,915",20.92,"134,664",-27.79,6.26,
81,금호석유,"99,500",0,0.00%,"5,000","30,315","30,468",33.29,"47,539",11.38,11.84,
82,쌍용양회,"6,010",80,-1.31%,"1,000","30,282","503,860",2.92,"1,544,473",22.68,7.02,
83,녹십자,"258,500","1,000",+0.39%,"5,000","30,210","11,687",18.42,"105,505",505.87,-0.35,
84,호텔신라,"76,500",700,+0.92%,"5,000","30,025","39,248",21.97,"831,168",-40.45,20.16,
85,LG화학우,"385,500","13,500",+3.63%,"5,000","29,640","7,689",54.62,"82,735",66.45,N/A,
86,삼성증권,"32,200",100,-0.31%,"5,000","28,755","89,300",24.94,"369,242",8.83,8.15,
87,두산밥캣,"28,350","1,400",+5.19%,500,"28,421","100,249",22.35,"461,520",15.53,7.05,
88,하이트진로,"38,150",50,-0.13%,"5,000","26,756","70,134",9.91,"235,904",39.41,-3.86,
89,NH투자증권,"9,420",30,-0.32%,"5,000","26,509","281,409",13.84,"760,558",6.16,9.12,
90,TIGER 200,"31,650",505,+1.62%,0,"26,444","83,550",6.90,"926,334",N/A,N/A,
91,키움증권,"116,500","1,000",-0.85%,"5,000","25,768","22,119",24.58,"45,830",7.81,16.97,
92,동서,"25,700",500,+1.98%,500,"25,623","99,700",6.04,"75,113",18.62,10.53,
93,GS리테일,"32,900",300,-0.90%,"1,000","25,333","77,000",16.78,"186,389",15.17,6.25,
94,두산퓨얼셀,"44,350","1,450",+3.38%,100,"24,611","55,494",4.56,"983,202",67.61,N/A,
95,부광약품,"37,800",200,+0.53%,500,"24,509","64,838",5.34,"847,215",879.07,-2.00,
96,대우조선해양,"22,750",100,+0.44%,"5,000","24,389","107,206",9.40,"112,779",-26.24,-1.22,
97,CJ,"83,200",300,-0.36%,"5,000","24,275","29,177",18.93,"28,882",16.17,6.24,
98,휠라홀딩스,"38,800","1,550",+4.16%,"1,000","23,572","60,752",44.83,"538,640",11.74,23.81,
99,KODEX 레버리지,"15,315",490,+3.31%,0,"23,309","152,200",1.62,"37,812,793",N/A,N/A,
100,일진머티리얼즈,"50,300",100,+0.20%,500,"23,194","46,111",9.22,"174,586",45.52,8.52,
101,한샘,"98,300",200,+0.20%,"1,000","23,134","23,534",24.92,"31,052",44.24,7.32,
102,한국항공우주,"23,450",50,+0.21%,"5,000","22,858","97,475",14.59,"243,152",14.63,15.84,
103,롯데쇼핑,"79,900",800,+1.01%,"5,000","22,603","28,289",11.75,"65,694",-1.66,-8.14,
104,삼성엔지니어링,"11,500",50,+0.44%,"5,000","22,540","196,000",30.80,"581,108",8.72,24.62,
105,KODEX 200선물인버스2X,"4,080",130,-3.09%,0,"22,367","548,200",2.50,"129,238,531",N/A,N/A,
106,대웅,"38,450","1,600",+4.34%,500,"22,356","58,142",6.95,"740,422",48.06,10.43,
107,한국가스공사,"24,150",50,+0.21%,"5,000","22,294","92,313",9.13,"92,075",-4.99,0.48,
108,메리츠증권,"3,290",0,0.00%,"1,000","22,239","675,962",12.34,"1,073,025",4.48,15.06,
109,제일기획,"18,850",150,-0.79%,200,"21,685","115,041",29.87,"213,715",16.86,15.09,
110,한화,"28,900","1,050",+3.77%,"5,000","21,663","74,959",19.46,"1,048,700",15.14,2.09,
111,농심,"355,500",500,-0.14%,"5,000","21,624","6,083",19.65,"13,916",17.69,3.72,
112,BGF리테일,"124,500",0,0.00%,"1,000","21,518","17,284",32.17,"13,360",16.61,26.46,
113,오뚜기,"593,000","3,000",-0.50%,"5,000","21,379","3,605",17.68,"2,408",16.94,7.79,
114,신세계,"216,000","2,500",+1.17%,"5,000","21,266","9,845",28.06,"86,198",-7.96,14.24,
115,현대차우,"86,000",0,0.00%,"5,000","20,947","24,357",55.81,"53,194",12.39,N/A,
116,HMM,"6,290",120,+1.94%,"5,000","20,551","326,726",7.70,"3,065,104",-8.06,-55.46,
117,GS건설,"25,550",100,+0.39%,"5,000","20,465","80,098",29.01,"189,183",5.36,11.79,
118,현대해상,"22,600",200,-0.88%,500,"20,204","89,400",40.23,"80,619",6.64,6.23,
119,영진약품,"11,000","1,090",+11.00%,500,"20,118","182,893",4.52,"59,914,228",846.15,4.43,
120,한올바이오파마,"38,500","2,150",+5.91%,500,"20,113","52,241",6.79,"3,434,500",93.67,14.90,
121,종근당,"181,500",0,0.00%,"2,500","19,758","10,886",12.56,"75,546",26.04,11.94,
122,팬오션,"3,440",25,-0.72%,"1,000","18,389","534,569",11.20,"541,961",12.46,5.49,
123,KODEX 단기채권,"102,460",0,0.00%,0,"18,188","17,751",3.38,"5,405",N/A,N/A,
124,한솔케미칼,"157,000",500,-0.32%,"5,000","17,733","11,295",31.11,"40,079",17.06,20.88,
125,포스코인터내셔널,"14,150",50,+0.35%,"5,000","17,458","123,375",16.35,"75,364",9.74,7.06,
126,씨에스윈드,"99,700","2,200",+2.26%,500,"17,234","17,286",8.84,"156,638",40.81,9.92,
127,BNK금융지주,"5,220",20,+0.38%,"5,000","17,014","325,935",47.33,"413,612",3.26,7.07,
128,일양약품,"88,500",600,+0.68%,"2,500","16,891","19,086",8.52,"941,843",182.10,5.20,
129,LS ELECTRIC,"56,300",300,-0.53%,"5,000","16,890","30,000",16.28,"39,525",17.37,7.82,
130,현대로템,"15,450",50,+0.32%,"5,000","16,862","109,142",3.66,"715,779",-4.63,-37.93,
131,두산인프라코어,"7,980",50,+0.63%,"5,000","16,766","210,103",5.05,"3,665,972",12.11,11.59,
132,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.30,0,25.00,8.38,
133,HDC현대산업개발,"24,550",100,-0.41%,"5,000","16,180","65,907",10.15,"2,817,586",3.48,20.30,
134,DB하이텍,"36,050",900,+2.56%,"5,000","16,006","44,399",31.31,"2,083,926",9.87,17.40,
135,OCI,"66,900","1,100",+1.67%,"5,000","15,955","23,849",16.31,"283,930",-1.97,-26.20,
136,현대엘리베이,"41,550",250,-0.60%,"5,000","15,935","38,351",25.63,"91,412",28.71,5.22,
